
0,0,Chevrolet Silverado 3500 HD Regular Cab,Лазурный,M258ТB 190,1GASHCD43BYK4KCE7,5318438948,1991-11-27 00:00,1970
1,0,Land Rover Range Rover Sport,Темно-бирюзовый,УС9240 150,2B3JD56M442G556HY,2040301470,2014-03-18 00:00,2003
2,0,Dodge Dakota Regular Cab,Темно-зеленый,6282НA 87,1GCGK791518H1EWZW,3840760127,2004-12-09 00:00,1995
3,0,Ford Ranger Super Cab,Светло-синий,ОK1024 186,1GT413CG8B8DUUYFH,5550425317,2018-02-11 00:00,2015
4,0,Ford C-MAX Energi,Светло-зеленый,001D962 777,1GYDE23A385U5D40B,4785894227,2010-11-04 00:00,1990
5,0,Plymouth Voyager,Сине-фиолетовый,Р2114 777,1GBZGJDA4AKBRY3RE,2868984606,2019-11-19 00:00,2007
6,0,Cadillac ATS,Розовато-лавандовый,3323НР 89,19UUA56863H1GSJF2,6481257416,2017-12-24 00:00,1997
7,1,Toyota Corolla,Бледно-Бирюзовый,ХТ6601 64,4A3AX55FXW2KK0SMH,4719534479,2012-06-11 00:00,1996
8,2,Toyota Avalon,Желтый,A415KС 82,2GCEC19Y38670JW01,1583989878,2021-09-11 00:00,2012
9,3,Porsche Cayenne,Синий,Т871УР 178,1GCGC24R4VRYGPC14,6093596192,1975-05-11 00:00,1973
10,3,INFINITI Q50,Оранжевый,Х8714 45,1FAFP34P84F5RGNDR,7779979061,1999-10-08 00:00,1984
11,4,Chevrolet Silverado 1500 Regular Cab,Золотой,AУ0279 126,1D3HW22P77JTC54EC,7404850262,2010-12-09 00:00,1995
12,5,GMC Sierra (Classic) 2500 HD Regular Cab,Пурпурный,B6014 39,KMHCG35C91TGFH6N1,8297700658,2003-10-20 00:00,2003
13,6,BMW 7 Series,Хаки,EE5346 82,1D5GW42J46BHHXGBL,4244132474,2006-09-17 00:00,1981
14,7,INFINITI QX30,Желтый,AХ539 80,3VWFT81K56RB6Y3HV,2943042625,2011-12-03 00:00,2010
15,7,Ford F350 Super Duty Super Cab,Желтый,009CD3 11,1G8ZN847X1BVRB82H,7748590271,2021-08-22 00:00,1979
16,7,GMC Sierra 3500 HD Crew Cab,Красный,ОС1999 14,3FTZF0825Y8NKD4UP,7688940860,2019-04-04 00:00,2017
17,7,Volkswagen Golf III,Белый,BН6662 80,JS2YC41328D1K9B4G,4545169926,2008-09-25 00:00,1977
18,8,Honda Civic,Сине-фиолетовый,О1466 85,WVGAV75N79RF69FE0,5829428509,1980-02-08 00:00,1974
19,9,Kia Forte,Бледно-Бирюзовый,С6517 61,1FMNU43F0Y3HKVZFS,2852007088,1994-02-14 00:00,1976
20,10,Audi A7,Оранжево-красный,EО464 10,4S4BRABC9A5X32VDT,2066185361,2003-07-21 00:00,1999
21,11,MAZDA 626,Темно-розовый,ОР661 41,1B7HL48NX31R1NEFF,6230870070,2019-04-20 00:00,1994
22,11,Dodge Durango,Цвет морской волны,000CD3 16,1FDSS31LX98A8LZ4E,2495891301,2019-08-08 00:00,2014
23,12,Ford Econoline E250 Cargo,Малиновый,B0355 125,3G5DA03L47NLG84DX,3994520767,1982-07-27 00:00,1979
24,12,Isuzu Rodeo,Светло-розовый,3081MН 07,1FTJW30S729UVHSYJ,7407416902,2011-06-03 00:00,1996
25,13,Hyundai Kona,Бледно-зеленый,Р762ОО 150,3D7KS26D27NPK9MEE,1503181592,1998-11-09 00:00,1973
26,14,Nissan TITAN Single Cab,Сливовый,Р552MУ 06,3VWVB81HXWH5B9P3J,8550717163,2018-03-02 00:00,2016
27,14,Eagle Premier,Каштановый,6866EН 197,YS3DF58N2TWXMKPKZ,7153859846,2010-05-28 00:00,1970
28,14,BMW M5,Хаки,5639ХР 65,1G1PF5D9XBN2PUBUC,4931426883,2002-08-07 00:00,1979
29,14,Acura TLX,Темно-красный,MA033 78,2T1GE40E09S6PW153,1364594822,1996-05-06 00:00,1981
30,14,Ram 1500 Classic Crew Cab,Светло-синий,Н0198 29,YS3EH49G75RXLLE49,3394998572,2002-02-10 00:00,1977
31,14,Dodge Durango,Сине-фиолетовый,M0617 18,JTDBE32K95YF0B4AV,5240925267,2012-10-06 00:00,2004
32,14,Toyota Prius c,Розовый,СM5186 63,4M2YU98H561W38DM2,7201561625,2003-10-14 00:00,1980
33,14,Ford Expedition,Белый,СB5597 90,1C4GP44G9106UADN0,6554069607,2010-08-03 00:00,2007
34,14,Volkswagen Eurovan,Темно-оранжевый,Р621MУ 36,3FTRW08LX2S947STF,1401188517,2016-11-24 00:00,1999
35,14,Nissan Regular Cab,Малиновый,3232ОE 01,1GTEC19009N9C8R8H,4491347402,2020-07-29 00:00,2017
36,14,Ford Econoline E350 Cargo,Темно-голубой,ОР7948 22,1D4GP25R93LEXASTK,7741645488,2017-05-16 00:00,2016
37,15,Audi A8,Светло-серый,ХН311 37,1D3LX38A87SRBSMMG,1654813255,1995-07-25 00:00,1985
38,16,MAZDA MPV,Индиго,000CD2 152,1GCWGKBG8BUJN7C4F,7619629465,2015-08-08 00:00,2014
39,16,Hyundai Genesis Coupe,Желтый,Н055AХ 186,1GCGG25F1XFN4HBJL,6926469244,2021-05-03 00:00,2020
40,17,Ford F150 Regular Cab,Ярко-розовый,000CD1 09,KNDJD73323Z29HGKB,9604916016,2006-06-17 00:00,2003
41,18,GMC Savana 3500 Cargo,Синий,0007MA 11,1GKGK26U81Z2HUVNP,7637293600,1985-05-08 00:00,1981
42,19,Ford F250 Super Duty Crew Cab,Васильковый,001CD2 56,1HGCM82244V3VX3Z7,3935433944,2013-11-04 00:00,1995
43,20,INFINITI G,Серебряный,002T580 763,1GKET16S9202NDU9Z,4260820436,2021-08-23 00:00,1975
