
0,4126367970,Шарова,Юлия,Тимуровна,1952-12-04 07:37,клх Североморск
1,3673510528,Беляева,Ираида,Кузьминична,1993-03-17 05:11,д. Дербент
2,4621872469,Филатова,Кира,Макаровна,1951-07-21 03:05,с. Игарка
3,3546297567,Сазонов,Вячеслав,Эдгардович,2001-12-10 05:08,ст. Ноглики
4,3220177332,Владиленович,Зуев,Давыд,1997-10-13 22:52,ст. Заводоуковск
5,3817552646,Даниловна,Ситникова,Нинель,2001-01-24 12:51,ст. Нарткала
6,4632447664,Давыдов,Святослав,Аксёнович,1978-04-01 21:18,п. Калачинск
7,4673937761,Филимонович,Назаров,Савелий,1951-03-13 21:03,с. Приозерск
8,3975041263,Баранов,Иннокентий,Адрианович,1954-04-08 03:47,к. Воронеж
9,3084350669,Лаврентьева,Раиса,Руслановна,1958-07-11 03:23,п. Калачинск
10,2527817833,Архипова,Валентина,Феликсовна,1963-03-22 16:56,к. Троицк (Челяб.)
11,3334714693,Владимировна,Лихачева,Дарья,1988-07-14 08:09,п. Троицко-Печорск
12,3437178218,Антипович,Фадеев,Милован,1961-11-16 01:55,клх Хабаровск
13,2737893813,Харитоновна,Зайцева,Клавдия,1976-01-30 12:35,п. Валдай
14,4467066743,Николаевна,Горбунова,Майя,1990-02-15 18:26,ст. Канск
15,4621902569,Зиновьева,Фаина,Викторовна,1989-05-16 01:24,п. Устюжна
16,2330652391,Гуляева,Тамара,Харитоновна,1972-03-28 03:12,г. Рязань
17,2872615060,Артемовна,Назарова,Евгения,1971-04-23 04:52,к. Лодейное Поле
18,4750021556,Эдуардович,Трофимов,Юрий,1958-08-03 14:51,д. Каргасок
19,2249629870,Эльдаровна,Самсонова,Майя,2002-07-30 09:01,д. Мелеуз
20,3095750624,Тимофеевна,Федорова,Вероника,1955-01-04 22:21,п. Тутончаны
21,2705577500,Фадеев,Автоном,Яковлевич,1986-04-06 05:27,п. Брянск
22,4390941053,Самсон,г-н,Соколов,1973-05-07 07:06,г. Нарткала
23,2271216928,Федосьевич,Мамонтов,Самуил,1986-10-16 10:29,клх Юрюзань
24,4346829155,Ильинична,Смирнова,Лора,1983-05-06 10:57,п. Жуковский
25,2767675036,Анатольевна,Антонова,Наталья,2001-08-25 14:49,д. Учалы
26,3598564413,Королева,Анжелика,Львовна,1980-11-14 07:36,с. Темрюк
27,4455668019,Аксёнович,Рябов,Трофим,1990-10-27 12:53,ст. Бреды
28,2475429731,Костина,Евгения,Станиславовна,1969-07-14 06:10,с. Самара
29,2804559423,Ерофеевич,Кондратьев,Наум,1995-05-18 07:28,г. Златоуст
30,3348223635,Симонов,Епифан,Ерофеевич,1983-05-21 20:06,с. Зарайск
31,2670562318,Викентьевич,Муравьев,Спартак,1968-04-08 11:57,к. Гусь-Хрустальный
32,4322955267,Тимофеевна,Аксенова,Иванна,1999-02-15 17:43,д. Белгород
33,2124704836,Евдокимов,Кир,Ефстафьевич,1976-06-21 05:19,к. Витим
34,3777260340,Никонов,Кирилл,Ануфриевич,1974-06-06 05:46,д. Колпашево
35,3313716300,Лазарева,Агафья,Даниловна,2002-08-04 09:46,д. Краснотурьинск
36,3243352665,Меркушев,Поликарп,Давыдович,1993-03-16 07:44,клх Избербаш
37,2565875072,Морозова,Любовь,Рубеновна,1970-05-27 17:23,клх Уэлен
38,2677670521,Евгения,тов.,Иванова,1978-03-12 06:54,к. Кировск (Мурм.)
39,3341714961,Виталий,тов.,Зуев,1952-12-09 03:03,д. Лодейное Поле
40,2704433577,Никитина,Полина,Тимуровна,1989-05-22 07:42,п. Каменск-Шахтинский
41,4161162929,Иларионович,Ковалев,Иннокентий,1952-03-16 05:07,с. Соликамск
42,4505539819,Исаков,Парамон,Гордеевич,1973-07-01 13:24,с. Холмогоры
43,3959758879,Валерианович,Владимиров,Ферапонт,1959-12-01 12:27,д. Мелеуз
44,2746032418,Гаврилович,Сафонов,Тихон,1984-10-14 20:19,ст. Беслан
45,3746124019,Октябрина,г-жа,Бурова,1956-11-15 09:04,к. Приморско-Ахтарск
46,4315102222,Ануфриевич,Лыткин,Клавдий,1953-04-14 05:53,п. Теберда
47,2616701142,Евдокимова,Лариса,Валентиновна,1951-04-11 15:08,г. Кудымкар
48,4679173957,Вячеславовна,Владимирова,Глафира,1960-10-03 18:13,к. Прохладный
49,2625179487,Александров,Самсон,Харлампьевич,1961-07-18 06:39,ст. Коломна
50,4369361571,Савельева,Прасковья,Павловна,1963-12-10 22:01,клх Губкин
51,2886747201,Феликсович,Калашников,Филипп,1955-06-14 19:19,клх Новый Оскол
52,2722915488,Эльдаровна,Цветкова,Тамара,1986-07-02 18:29,ст. Армавир
53,4323259413,Авдеева,Анна,Павловна,1978-01-22 10:03,клх Краснотурьинск
54,4354301993,Власович,Беляев,Афанасий,1978-05-25 04:05,ст. Ногинск (Моск.)
55,3016124825,Евдокимов,Фома,Ефстафьевич,1996-09-11 07:57,с. Кош-Агач
56,2253495553,Ждановна,Панфилова,Лукия,2000-04-24 13:29,г. Лысьва
57,4291394025,Титов,Валерьян,Борисович,1971-03-25 11:55,ст. Карталы
58,3039047382,Потапов,Максимильян,Ааронович,1998-12-21 03:15,с. Жуковский
59,3639778222,Адамович,Комаров,Милан,1958-08-02 16:52,к. Ребриха
60,4713271732,Аскольдовна,Суханова,Валентина,1956-05-16 02:08,д. Томари
61,3627538555,Викторович,Стрелков,Леонтий,1974-11-19 06:36,с. Мценск
62,2197397174,Зайцева,Виктория,Семеновна,1956-06-26 13:22,к. Кисловодск
63,3559028555,Емельянова,Наина,Романовна,1985-03-26 07:09,с. Ногинск (Моск.)
64,4909677938,Сорокина,Евфросиния,Павловна,1976-06-18 06:59,клх Каргополь
65,3747388519,Виноградова,Зоя,Ильинична,1981-03-05 04:00,п. Уэлен
66,2393076154,Артёмович,Кошелев,Тит,1988-01-25 15:11,с. Дубна
67,4770451506,Александрович,Белоусов,Прохор,1956-06-13 03:08,п. Южноуральск
68,4360573347,Зыков,Герасим,Ануфриевич,1988-06-12 13:52,ст. Завьялиха
69,3666849985,Дмитриева,Пелагея,Григорьевна,2002-07-08 22:34,клх Нижневартовск
70,4833750761,Дорофеевич,Козлов,Харлампий,1970-08-10 05:41,к. Агинское (Забайк.)
71,2165423641,Дмитриева,Анна,Робертовна,1969-02-15 23:05,клх Неплюевка
72,3745642596,Бориславович,Ситников,Харитон,1977-06-04 23:22,д. Златоуст
73,4077451847,Станиславовна,Яковлева,Ксения,1976-05-29 16:42,д. Армавир
74,2584959581,Наумова,Таисия,Романовна,2001-01-09 12:30,к. Карталы
75,3173459447,Третьяков,Всемил,Адрианович,1982-04-14 07:23,п. Карабудахкент
76,3494802056,Колобова,София,Мироновна,1966-06-13 06:50,д. Ялуторовск
77,4059961138,Данилов,Бажен,Иосипович,1988-09-03 20:24,п. Тавда
78,2544676870,Владимировна,Попова,Надежда,1973-12-18 23:51,клх Черкесск
79,3261437823,Тихонова,Ия,Эльдаровна,1975-07-09 22:03,г. Нефтегорск (Самар.)
80,2569871890,Лобанова,Эмилия,Ивановна,1984-03-10 18:02,с. Агата
81,4943128951,Августович,Колесников,Радим,1952-09-13 13:31,п. Ачхой Мартан
82,4136221542,Дмитриев,Ферапонт,Яковлевич,1978-09-01 17:24,с. Чебоксары
83,2673927005,Георгиевна,Филатова,Наталья,1988-09-25 07:54,п. Егорьевск
84,4235022419,Константиновна,Цветкова,Иванна,1986-09-12 08:39,г. Ребриха
85,4784905223,Ниловна,Белова,Прасковья,1954-09-03 13:20,с. Невьянск
86,2084920996,Афанасьевич,Васильев,Кир,1989-09-04 01:18,ст. Плес
87,4034506436,Титова,Виктория,Игоревна,1996-05-24 17:01,к. Чусовой
88,3542833198,Петровна,Казакова,Жанна,1967-09-03 09:09,п. Махачкала
89,3382264541,Игнатов,Трофим,Филиппович,1958-06-19 03:49,клх Уварово
90,3475351120,Давыдович,Абрамов,Каллистрат,1958-11-29 21:27,ст. Дубна
91,2086954191,Виленович,Козлов,Ираклий,1969-09-16 15:44,г. Шаховская
